indroea,demarc,area_km2,elev_mean,slope_mean,clay_pct,sand_pct,forest_frac,crop_frac,p_mean,pet_mean,aridity,frac_snow,p_seasonality,high_prec_freq,low_prec_freq,wet_day_frac,runoff_coef,qc_flag
8071,jucar,549.3,701.443,9.562,27.534,35.143,0.474,0.036,1.628,2.893,1.778,0.002,1.264,20.63,279.1,0.236,0.171,clean
8087,jucar,187.0,920.96,2.808,26.88,36.811,0.059,0.81,1.601,2.883,1.801,0.011,1.066,22.76,269.2,0.263,0.131,clean
8090,jucar,831.4,1343.641,8.704,21.932,41.507,0.582,0.036,1.746,2.621,1.501,0.062,0.937,20.74,255.5,0.3,0.291,clean
8091,jucar,1821.6,1176.903,6.284,22.754,40.794,0.577,0.2,1.925,2.681,1.393,0.036,1.006,21.11,253.8,0.305,0.259,clean
8092,jucar,686.1,1053.466,5.801,22.73,41.247,0.54,0.098,1.439,2.862,1.99,0.025,0.951,21.32,272.2,0.255,0.089,clean
8093,jucar,1082.5,822.442,4.608,24.286,39.371,0.465,0.257,1.336,2.975,2.227,0.012,0.945,20.98,280.9,0.231,0.03,regulated_low
8097,jucar,82.5,1219.618,7.589,24.057,39.601,0.901,0.014,1.387,2.907,2.096,0.026,1.101,21.34,272.4,0.254,0.324,clean
8103,jucar,3006.9,1265.39,5.909,22.533,40.961,0.244,0.239,1.484,2.629,1.772,0.064,0.885,19.27,258.7,0.292,0.055,regulated_low
8104,jucar,241.4,1287.385,8.71,22.85,40.663,0.57,0.061,1.567,2.676,1.707,0.06,0.923,20.64,262.1,0.282,0.279,clean
8111,jucar,73.9,963.907,2.725,25.493,38.085,0.247,0.578,1.564,2.843,1.817,0.015,1.074,22.21,270.5,0.259,0.049,regulated_low
8118,jucar,259.8,1013.31,3.667,24.699,38.656,0.442,0.303,1.538,2.842,1.848,0.017,1.076,22.0,271.5,0.257,0.054,regulated_low
8126,jucar,245.2,1495.845,11.184,21.724,41.545,0.711,0.003,2.127,2.458,1.155,0.101,0.927,19.89,244.0,0.332,0.414,clean
8129,jucar,3273.9,1059.208,4.756,23.964,39.664,0.437,0.355,1.739,2.778,1.597,0.023,1.034,21.56,260.3,0.287,0.133,clean
8134,jucar,1403.2,1232.752,7.161,22.234,41.225,0.45,0.097,1.618,2.615,1.616,0.045,0.833,19.52,258.3,0.293,0.174,clean
8137,jucar,198.2,960.418,3.277,27.094,36.791,0.201,0.315,1.401,2.939,2.098,0.013,1.053,22.39,275.2,0.247,0.087,clean
8139,jucar,1244.4,1254.214,8.074,22.144,41.395,0.642,0.037,1.701,2.691,1.582,0.046,0.947,21.08,258.0,0.294,0.318,clean
8140,jucar,802.4,1129.653,5.338,22.295,41.373,0.628,0.133,1.723,2.759,1.602,0.029,1.014,22.14,262.3,0.282,0.07,regulated_low
8141,jucar,71.5,1094.37,9.235,22.283,42.188,0.826,0.011,1.481,2.892,1.952,0.023,0.99,21.66,271.4,0.257,0.157,clean
8148,jucar,327.6,988.36,8.067,24.196,38.933,0.436,0.068,1.665,2.74,1.646,0.017,0.782,21.05,268.2,0.266,0.065,regulated_low
8151,jucar,28.2,596.091,14.438,28.729,35.036,0.375,0.0,1.566,2.732,1.744,0.0,1.419,19.9,283.9,0.223,0.413,clean
9003,ebro,1302.9,643.498,6.837,28.02,30.679,0.435,0.385,2.021,2.448,1.211,0.017,0.805,15.89,230.9,0.368,0.423,clean
9004,ebro,2748.7,612.63,8.123,27.537,31.588,0.429,0.32,2.525,2.375,0.94,0.014,0.638,15.27,213.9,0.414,0.607,clean
9006,ebro,86.6,813.363,7.954,27.361,31.0,0.706,0.234,1.918,2.408,1.255,0.028,0.837,16.37,232.8,0.363,0.341,clean
